abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
abandoned, anger,,, fear,, sadness,,, negative,
abandonment, anger,,, fear,, sadness, surprise,, negative,
abba,,,,,,,,,, positive
abbot,,,,,,,, trust,,
abduction,,,, fear,, sadness, surprise,, negative,
aberrant,,,,,,,,, negative,
aberration,,, disgust,,,,,, negative,
abhor, anger,, disgust, fear,,,,, negative,
abhorrent, anger,, disgust, fear,,,,, negative,
ability,,,,,,,,,, positive
abject,,, disgust,,,,,, negative,
abnormal,,, disgust,,,,,, negative,
abolish, anger,,,,,,,, negative,
abolition,,,,,,,,, negative,
abominable,,, disgust, fear,,,,, negative,
abomination, anger,, disgust, fear,,,,, negative,
abort,,,,,,,,, negative,
abortion,,, disgust, fear,, sadness,,, negative,
abortive,,,,,, sadness,,, negative,
abovementioned,,,,,,,,,, positive
abrasion,,,,,,,,, negative,
abrogate,,,,,,,,, negative,
abrupt,,,,,,, surprise,,,
abscess,,,,,, sadness,,, negative,
absence,,,, fear,, sadness,,, negative,
absent,,,,,, sadness,,, negative,
absentee,,,,,, sadness,,, negative,
absenteeism,,,,,,,,, negative,
absolute,,,,,,,,,, positive
absolution,,,,, joy,,, trust,, positive
absorbed,,,,,,,,,, positive
absurd,,,,,,,,, negative,
absurdity,,,,,,,,, negative,
abundance,, anticip, disgust,, joy,,, trust, negative, positive
abundant,,,,, joy,,,,, positive
abuse, anger,, disgust, fear,, sadness,,, negative,
abysmal,,,,,, sadness,,, negative,
abyss,,,, fear,, sadness,,, negative,
academic,,,,,,,, trust,, positive
academy,,,,,,,,,, positive
accelerate,, anticip,,,,,,,,
acceptable,,,,,,,,,, positive
acceptance,,,,,,,,,, positive
accessible,,,,,,,,,, positive
accident,,,, fear,, sadness, surprise,, negative,
accidental,,,, fear,,, surprise,, negative,
accidentally,,,,,,, surprise,,,
accolade,, anticip,,, joy,, surprise, trust,, positive
accommodation,,,,,,,,,, positive
accompaniment,, anticip,,, joy,,, trust,, positive
accomplish,,,,, joy,,,,, positive
accomplished,,,,, joy,,,,, positive
accomplishment,,,,,,,,,, positive
accord,,,,,,,, trust,, positive
account,,,,,,,, trust,,
accountability,,,,,,,, trust,, positive
accountable,,,,,,,, trust,, positive
accountant,,,,,,,, trust,,
accounts,,,,,,,, trust,,
accredited,,,,,,,, trust,, positive
accueil,,,,,,,,,, positive
accurate,,,,,,,, trust,, positive
accursed, anger,,, fear,, sadness,,, negative,
accusation, anger,, disgust,,,,,, negative,
accusative,,,,,,,,, negative,
accused, anger,,, fear,,,,, negative,
accuser, anger,,, fear,,,,, negative,
accusing, anger,,, fear,,,,, negative,
ace,,,,,,,,,, positive
ache,,,,,, sadness,,, negative,
achieve,,,,, joy,,, trust,, positive
achievement,, anticip,,, joy,,, trust,, positive
aching,,,,,, sadness,,, negative,
acid,,,,,,,,, negative,
acknowledgment,,,,,,,,,, positive
acquire,,,,,,,,,, positive
acquiring,, anticip,,,,,,,, positive
acrobat,,,, fear, joy,,, trust,, positive
action,,,,,,,,,, positive
actionable, anger,, disgust,,,,,, negative,
actual,,,,,,,,,, positive
acuity,,,,,,,,,, positive
acumen,,,,,,,,,, positive
adapt,,,,,,,,,, positive
adaptable,,,,,,,,,, positive
